id	name
9447	Microsoft Windows SharePoint Services 3.0 Service Pack 2 (64-bit version)
10402	Microsoft Windows SharePoint Services 3.0 Service Pack 3 (32-bit version)
10403	Microsoft Windows SharePoint Services 3.0 Service Pack 3 (64-bit version)
1664	Microsoft Windows XP Media Center Edition 2005
9328	Microsoft Windows XP Media Center Edition 2005 Service Pack 3
3126	Microsoft Windows XP Professional x64 Edition Service Pack 
3126	Microsoft Windows XP Professional x64 Edition Service Pack 2
3126	Microsoft Windows XP Professional x64 Edition Service Pack 2 
4969	Microsoft Windows XP Service Pack 2
3700	Microsoft Windows XP Service Pack 3
3700	Microsoft Windows XP Service Pack 3 
9321	Microsoft Windows XP Tablet PC Edition 2005
9321	Microsoft Windows XP Tablet PC Edition 2005 Service Pack 3
9264	Microsoft Word 2003 Service Pack 3
9427	Microsoft Word 2007 Service Pack 2
10162	Microsoft Word 2007 Service Pack 3
9386	Microsoft Word 2010 (32-bit editions)
9428	Microsoft Word 2010 (64-bit editions)
10200	Microsoft Word 2010 Service Pack 1 (32-bit editions)
10201	Microsoft Word 2010 Service Pack 1 (64-bit editions)
10513	Microsoft Word 2010 Service Pack 2 (32-bit editions)
10514	Microsoft Word 2010 Service Pack 2 (64-bit editions)
10323	Microsoft Word 2013 (32-bit editions)
10324	Microsoft Word 2013 (64-bit editions)
10406	Microsoft Word 2013 RT
10606	Microsoft Word 2013 RT Service Pack 1
10604	Microsoft Word 2013 Service Pack 1 (32-bit editions)
10604	Microsoft Word 2013 Service Pack 1 (32-bit editions) 
10605	Microsoft Word 2013 Service Pack 1 (64-bit editions)
10605	Microsoft Word 2013 Service Pack 1 (64-bit editions) 
1160	Microsoft Word Viewer
10056	Microsoft Word Web App 2010
10238	Microsoft Word Web App 2010 Service Pack 1
10515	Microsoft Word Web App 2010 Service Pack 2
925	Microsoft Works 9
7177	Microsoft XML Core Services 3.0
1399	Microsoft XML Core Services 4.0
9240	Microsoft XML Core Services 5.0
6710	Microsoft XML Core Services 6.0
1399	Microsoft XML Core Services4.0
	None
